,occurTime,age,occupation,isRock,occurMonth,mahal
509,7,10,2,0,5,11.740345571132446
510,6,10,2,0,6,12.161101689055666
511,19,20,3,0,7,6.05978582773825
512,18,10,3,0,7,11.117472611187916
513,17,10,4,0,7,10.764204698609966
514,9,10,2,0,8,10.747015037361768
515,17,10,3,0,8,10.754295765993085
516,7,10,2,0,8,11.631908750250048
517,11,10,4,0,9,10.372434672688515
518,13,30,4,0,9,10.384267671544233
519,8,10,2,0,9,11.294025516848423
520,8,10,2,0,10,11.519991669126101
521,7,10,2,0,10,11.983809600338558
522,10,20,3,0,2,5.749642266644649
523,23,20,3,0,11,10.85061514764835
524,6,70,4,0,6,50.604100479947974
525,10,10,4,0,9,10.606077763227212
526,19,10,3,0,2,12.606376734515127
527,15,50,4,0,5,30.256533945303794
528,15,10,2,0,9,10.355897885369494
529,6,10,2,0,9,12.30276315857893
530,17,30,4,0,10,11.374632865902212
531,0,40,4,0,12,24.475338442244325
532,8,10,2,0,4,11.479504953074674
533,8,10,4,0,4,11.51155402510578
534,8,10,2,0,6,11.139543317869403
535,10,40,4,0,6,20.373909123411135
536,16,10,4,0,7,10.42926590292954
537,16,10,2,0,8,10.449303366744457
538,17,40,4,0,8,20.569301713208826
539,22,40,4,0,10,22.291234643461973
540,10,20,4,0,10,4.434903910921855
541,16,60,4,0,9,40.288974126017536
542,12,10,1,0,3,10.846634469354791
543,18,20,4,0,5,5.538999769642334
544,3,20,4,0,4,10.442585406548709
545,14,20,3,0,4,3.124554309926805
546,9,10,3,0,5,10.835181873017968
547,6,20,3,0,5,7.220104650256007
548,12,20,3,0,11,4.201449555466084
549,17,50,4,0,8,30.4157930106547
550,7,10,2,0,4,11.944895078990765
551,17,10,1,0,12,11.980768674974051
552,16,30,4,0,4,11.016014852269663
553,18,60,4,0,11,40.641221174185574
554,7,10,2,0,12,12.646030361350139
555,13,10,2,0,2,11.088788040290236
556,7,10,2,0,9,11.766753879284428
557,18,70,4,0,12,50.62497748847457
558,11,10,2,0,7,10.126211906280888
559,15,50,4,0,6,30.209485961611993
560,8,30,4,0,1,12.77101687511007
561,18,10,2,0,1,12.621355003279682
562,9,10,1,0,2,11.882707480687202
563,18,30,4,0,2,12.378983112579933
564,20,10,2,0,4,12.528416508181861
565,19,10,2,0,5,11.790585242659802
566,16,10,2,0,6,10.434440545004515
567,6,50,4,0,7,30.917334912152924
568,18,10,2,0,7,11.14584120683055
569,8,10,2,0,7,11.101559395517386
570,16,10,2,0,7,10.393880178679451
571,17,10,1,0,8,10.904954622427075
572,7,10,2,0,9,11.766753879284428
573,20,10,4,0,9,12.388464017597352
574,14,10,2,0,10,10.45472626012483
575,17,60,4,0,11,40.52912956145865
576,15,40,4,0,8,20.270647299232433
577,20,50,4,0,10,31.092224146701355
578,9,20,4,0,8,4.273109619061845
579,18,10,2,0,1,12.621355003279682
580,18,10,2,0,8,11.197543118443141
581,8,10,2,0,9,11.294025516848423
582,8,10,2,0,11,11.826470468328505
583,8,10,2,0,12,12.207399371682639
584,18,10,2,0,7,11.14584120683055
585,0,50,4,0,9,32.857280720045054
586,17,50,4,0,12,30.817872204177842
587,18,30,4,0,12,12.441510347086236
588,18,10,1,0,2,12.291679167131436
589,18,10,2,0,3,11.815624972122126
590,9,30,4,0,4,11.298804122049763
591,12,10,2,0,5,10.165052470472055
592,19,10,2,0,9,11.81688127597434
593,5,10,2,0,9,12.89416402162307
594,15,70,4,0,11,50.323330607863596
595,13,10,2,0,3,10.682528534199909
